,timestamp,Carbon Monoxide (mg/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
0,2017-01-20 00:00,,89.6,67.2,,0.4,34.9,32,4
1,2017-01-20 01:00,,70.3,63.8,,0.6,34.1,29,3.4
2,2017-01-20 02:00,,68.8,62.1,,0.4,32.7,29.1,3.9
3,2017-01-20 03:00,,64.4,61.1,,0.4,30.8,27.5,3.3
4,2017-01-20 04:00,,49.9,57.7,,0.4,28.8,26.7,3.2
5,2017-01-20 05:00,,63.4,57.5,,0.4,27.4,28.1,3.7
6,2017-01-20 06:00,,81.6,59,,0.4,31.2,27.5,4.1
7,2017-01-20 07:00,,122.4,62.3,,0.6,34.1,29.3,5
8,2017-01-20 08:00,,171.1,69.1,,1,39,33.5,6.4
9,2017-01-20 09:00,,225,78.9,,1.6,54.7,37.3,8.4
10,2017-01-20 10:00,,220.4,80.4,,2,48.9,34.4,9.2
11,2017-01-20 11:00,,155.9,79.6,,3.6,54.7,32.7,8.6
12,2017-01-20 12:00,,107.2,73.3,,5.8,52.8,25.1,9.9
13,2017-01-20 13:00,,91.9,73.3,,9.4,41,18.3,10.8
14,2017-01-20 14:00,,71.4,72,,8.8,42.7,17.1,9.6
15,2017-01-20 15:00,,64,71.1,,8.6,34.3,17.2,10.2
16,2017-01-20 16:00,,55.2,77.5,,5.4,33.1,13.2,8.2
17,2017-01-20 17:00,,49.5,80.8,,1.8,24.6,14,5.9
18,2017-01-20 18:00,,89.8,85.2,,1.4,29.9,18,6.8
19,2017-01-20 19:00,,114.2,86.7,,1.4,34.2,22.1,7
20,2017-01-20 20:00,,90.5,81.6,,1.2,31.8,26,5.7
21,2017-01-20 21:00,,86.3,77.5,,1,32.9,25.2,5.3
22,2017-01-20 22:00,,84.4,74.7,,1,33,25.6,5.1
23,2017-01-20 23:00,,111.5,74.1,,0.6,34.7,28.5,5.5
24,2017-01-21 00:00,,84,67,,0.6,31.7,22.7,4.8
25,2017-01-21 01:00,,88.8,66.8,,0.6,29.1,23.9,5.1
26,2017-01-21 02:00,,87.3,66.7,,0.6,28.2,23.8,5.3
27,2017-01-21 03:00,,77,66.7,,0.4,28.2,21,5.2
28,2017-01-21 04:00,,63.2,64.2,,0.6,27,19.3,4.8
29,2017-01-21 05:00,,81.2,63.2,,0.4,27.3,21.8,5.2
30,2017-01-21 06:00,,81,59.6,,0.4,30.6,23,5.2
31,2017-01-21 07:00,,98,62.3,,0.6,28.8,23.6,5.7
32,2017-01-21 08:00,,149.9,68,,1,36,26.1,6.7
33,2017-01-21 09:00,,126.4,70.3,,1.8,44.9,27.6,7
34,2017-01-21 10:00,,144.6,79.1,,3,49.7,30.2,9.4
35,2017-01-21 11:00,,162.5,84.2,,5.6,51,30,11.8
36,2017-01-21 12:00,,107.5,77.4,,10.2,33.4,21.8,11.8
37,2017-01-21 13:00,,103.7,76,,11,37,21.6,12
38,2017-01-21 14:00,,98.4,73.7,,10.2,29,21.1,11.2
39,2017-01-21 15:00,,105.2,80,,5.6,32.1,24.1,10.1
40,2017-01-21 16:00,,79.6,80.4,,2.4,31.8,25,8.8
41,2017-01-21 17:00,,46,75.3,,4.4,32.7,27.9,7.2
42,2017-01-21 18:00,,26.5,68.8,,4.8,42.2,41,5.6
43,2017-01-21 19:00,,32.7,66.1,,4.8,51.1,48.8,5.1
44,2017-01-21 20:00,,18.5,60.5,,6.6,56.6,54.6,4.6
45,2017-01-21 21:00,,22,62.8,,4.4,61,53.9,4.7
46,2017-01-21 22:00,,40.9,67.8,,2.2,58.6,55.6,4.9
47,2017-01-21 23:00,,43.9,68.6,,2.4,56.7,52.1,5.2
48,2017-01-22 00:00,,32.3,64.4,,3,48.8,45.9,4.9
49,2017-01-22 01:00,,19.9,56.2,,6.2,44,41.2,4.3
50,2017-01-22 02:00,,27.9,64,,2.8,48.5,44,4.6
51,2017-01-22 03:00,,35.5,64.6,,1.2,50.1,50.5,5
52,2017-01-22 04:00,,86.3,68.6,,0.8,56.5,50.8,5.9
53,2017-01-22 05:00,,176.5,74.7,,1.2,60.7,56.9,8.8
54,2017-01-22 06:00,,238.9,80.4,,1.4,70.9,68.6,10.2
55,2017-01-22 07:00,,267,80.2,,1.4,71.4,65.9,11
56,2017-01-22 08:00,,283.4,82.5,,1.4,74.6,70.3,11.3
57,2017-01-22 09:00,,305.2,89.8,,1.6,76.1,74.5,12.2
58,2017-01-22 10:00,,139.8,71.4,,3.6,65.8,63.5,8.7
59,2017-01-22 11:00,,206.3,82.3,,3.8,79.4,72.5,10
60,2017-01-22 12:00,,77.9,66.3,,6.8,64.9,63.1,6.5
61,2017-01-22 13:00,,67.2,67.8,,7,67.9,62,7.6
62,2017-01-22 14:00,,51,67,,6.6,67.3,65.7,7.2
63,2017-01-22 15:00,,53.3,70.3,,4.2,68.1,66.4,6.7
64,2017-01-22 16:00,,108.1,81.6,,1.4,73.2,67.6,7.2
65,2017-01-22 17:00,,196.7,94,,1.6,90.8,84.7,9.5
66,2017-01-22 18:00,,213.7,95.1,,2,101.3,92.7,9.9
67,2017-01-22 19:00,,233,93.8,,1.6,99.6,93.8,10.2
68,2017-01-22 20:00,,227.5,88.2,,1.2,90.4,85,9.7
69,2017-01-22 21:00,,306.2,101.2,,2.2,107.1,101.2,11.7
70,2017-01-22 22:00,,391.2,111,,2.4,119.3,118.2,14.1
71,2017-01-22 23:00,,472.2,117.5,,2.2,205,123.8,15.7
72,2017-01-23 00:00,,540.9,119.6,,,129.9,125.1,17.6
73,2017-01-23 01:00,,551.4,116.3,,2,125.5,118.7,16.3
74,2017-01-23 02:00,,309.4,97,,1.6,107.3,105.9,10.5
75,2017-01-23 03:00,,224.6,83.5,,1,98.4,94,9
76,2017-01-23 04:00,,215.8,80.8,,1,94.4,92.5,9
77,2017-01-23 05:00,,315,94.2,,1,99.9,99.4,11.6
78,2017-01-23 06:00,,285.5,82.7,,0.8,93.2,87.4,10.6
79,2017-01-23 07:00,,267.6,79.6,,0.8,77.6,76.4,10.4
80,2017-01-23 08:00,,259,79.3,,0.6,76.8,69.1,10.1
81,2017-01-23 09:00,,,,,,,,
82,2017-01-23 10:00,,,,,,,,
83,2017-01-23 11:00,,,,,,,,
84,2017-01-23 12:00,,,,,,,,
85,2017-01-23 13:00,,,,,,,,
86,2017-01-23 14:00,,,,,,,,
87,2017-01-23 15:00,,,,,,,,
88,2017-01-23 16:00,,,,,,,,
89,2017-01-23 17:00,,,,,,,,
90,2017-01-23 18:00,,,,,,,,
91,2017-01-23 19:00,,,,,,,,
92,2017-01-23 20:00,,,,,,,,
93,2017-01-23 21:00,,,,,,,,
94,2017-01-23 22:00,,,,,,,,
95,2017-01-23 23:00,,,,,,,,
96,2017-01-24 00:00,,,,,,,,
